Alcohol,Malicacid,Ash,Alcalinity_of_ash,Magnesium,Total_phenols,Flavanoids,Nonflavanoid_phenols,Proanthocyanins,Color_intensity,Hue,0D280_0D315_of_diluted_wines,Proline,order,value,abs_value,metric,n_train,n_test,seed,class_id
0,1,0,1,0,0,0,0,0,0,1,0,0,3,0.6888888888888889,0.6888888888888889,accuracy,133,45,42,15
0,1,0,1,0,0,0,0,0,0,0,1,0,3,0.8,0.8,accuracy,133,45,42,10
0,1,0,1,0,0,0,0,0,0,0,0,1,3,0.8444444444444444,0.8444444444444444,accuracy,133,45,42,8
0,1,0,0,1,1,0,0,0,0,0,0,0,3,0.8444444444444444,0.8444444444444444,accuracy,133,45,42,8
0,1,0,0,1,0,1,0,0,0,0,0,0,3,0.9111111111111112,0.9111111111111112,accuracy,133,45,42,5
0,1,0,0,1,0,0,1,0,0,0,0,0,3,0.6888888888888889,0.6888888888888889,accuracy,133,45,42,15
0,1,0,0,1,0,0,0,1,0,0,0,0,3,0.7111111111111111,0.7111111111111111,accuracy,133,45,42,14
0,1,0,0,1,0,0,0,0,1,0,0,0,3,0.8666666666666667,0.8666666666666667,accuracy,133,45,42,7
0,1,0,0,1,0,0,0,0,0,1,0,0,3,0.7111111111111111,0.7111111111111111,accuracy,133,45,42,14
0,1,0,0,1,0,0,0,0,0,0,1,0,3,0.8444444444444444,0.8444444444444444,accuracy,133,45,42,8
0,1,0,0,1,0,0,0,0,0,0,0,1,3,0.8,0.8,accuracy,133,45,42,10
0,1,0,0,0,1,1,0,0,0,0,0,0,3,0.7777777777777778,0.7777777777777778,accuracy,133,45,42,11
0,1,0,0,0,1,0,1,0,0,0,0,0,3,0.7111111111111111,0.7111111111111111,accuracy,133,45,42,14
0,1,0,0,0,1,0,0,1,0,0,0,0,3,0.7111111111111111,0.7111111111111111,accuracy,133,45,42,14
0,1,0,0,0,1,0,0,0,1,0,0,0,3,0.8444444444444444,0.8444444444444444,accuracy,133,45,42,8
0,1,0,0,0,1,0,0,0,0,1,0,0,3,0.7777777777777778,0.7777777777777778,accuracy,133,45,42,11
0,1,0,0,0,1,0,0,0,0,0,1,0,3,0.7555555555555555,0.7555555555555555,accuracy,133,45,42,12
0,1,0,0,0,1,0,0,0,0,0,0,1,3,0.8444444444444444,0.8444444444444444,accuracy,133,45,42,8
0,1,0,0,0,0,1,1,0,0,0,0,0,3,0.8666666666666667,0.8666666666666667,accuracy,133,45,42,7
0,1,0,0,0,0,1,0,1,0,0,0,0,3,0.7777777777777778,0.7777777777777778,accuracy,133,45,42,11
0,1,0,0,0,0,1,0,0,1,0,0,0,3,0.8888888888888888,0.8888888888888888,accuracy,133,45,42,6
0,1,0,0,0,0,1,0,0,0,1,0,0,3,0.8444444444444444,0.8444444444444444,accuracy,133,45,42,8
0,1,0,0,0,0,1,0,0,0,0,1,0,3,0.8,0.8,accuracy,133,45,42,10
0,1,0,0,0,0,1,0,0,0,0,0,1,3,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
0,1,0,0,0,0,0,1,1,0,0,0,0,3,0.6444444444444445,0.6444444444444445,accuracy,133,45,42,16
0,1,0,0,0,0,0,1,0,1,0,0,0,3,0.8,0.8,accuracy,133,45,42,10
0,1,0,0,0,0,0,1,0,0,1,0,0,3,0.7555555555555555,0.7555555555555555,accuracy,133,45,42,12
0,1,0,0,0,0,0,1,0,0,0,1,0,3,0.7333333333333333,0.7333333333333333,accuracy,133,45,42,13
0,1,0,0,0,0,0,1,0,0,0,0,1,3,0.8888888888888888,0.8888888888888888,accuracy,133,45,42,6
0,1,0,0,0,0,0,0,1,1,0,0,0,3,0.8444444444444444,0.8444444444444444,accuracy,133,45,42,8
0,1,0,0,0,0,0,0,1,0,1,0,0,3,0.6888888888888889,0.6888888888888889,accuracy,133,45,42,15
0,1,0,0,0,0,0,0,1,0,0,1,0,3,0.7111111111111111,0.7111111111111111,accuracy,133,45,42,14
0,1,0,0,0,0,0,0,1,0,0,0,1,3,0.8666666666666667,0.8666666666666667,accuracy,133,45,42,7
0,1,0,0,0,0,0,0,0,1,1,0,0,3,0.8666666666666667,0.8666666666666667,accuracy,133,45,42,7
0,1,0,0,0,0,0,0,0,1,0,1,0,3,0.8666666666666667,0.8666666666666667,accuracy,133,45,42,7
0,1,0,0,0,0,0,0,0,1,0,0,1,3,0.9111111111111112,0.9111111111111112,accuracy,133,45,42,5
0,1,0,0,0,0,0,0,0,0,1,1,0,3,0.8222222222222222,0.8222222222222222,accuracy,133,45,42,9
0,1,0,0,0,0,0,0,0,0,1,0,1,3,0.8666666666666667,0.8666666666666667,accuracy,133,45,42,7
0,1,0,0,0,0,0,0,0,0,0,1,1,3,0.9555555555555556,0.9555555555555556,accuracy,133,45,42,3
0,0,1,1,1,0,0,0,0,0,0,0,0,3,0.6666666666666666,0.6666666666666666,accuracy,133,45,42,16
0,0,1,1,0,1,0,0,0,0,0,0,0,3,0.6444444444444445,0.6444444444444445,accuracy,133,45,42,16
0,0,1,1,0,0,1,0,0,0,0,0,0,3,0.8666666666666667,0.8666666666666667,accuracy,133,45,42,7
0,0,1,1,0,0,0,1,0,0,0,0,0,3,0.6888888888888889,0.6888888888888889,accuracy,133,45,42,15
0,0,1,1,0,0,0,0,1,0,0,0,0,3,0.7111111111111111,0.7111111111111111,accuracy,133,45,42,14
0,0,1,1,0,0,0,0,0,1,0,0,0,3,0.8666666666666667,0.8666666666666667,accuracy,133,45,42,7
0,0,1,1,0,0,0,0,0,0,1,0,0,3,0.8,0.8,accuracy,133,45,42,10
0,0,1,1,0,0,0,0,0,0,0,1,0,3,0.8444444444444444,0.8444444444444444,accuracy,133,45,42,8
0,0,1,1,0,0,0,0,0,0,0,0,1,3,0.7777777777777778,0.7777777777777778,accuracy,133,45,42,11
0,0,1,0,1,1,0,0,0,0,0,0,0,3,0.7777777777777778,0.7777777777777778,accuracy,133,45,42,11
0,0,1,0,1,0,1,0,0,0,0,0,0,3,0.9111111111111112,0.9111111111111112,accuracy,133,45,42,5
0,0,1,0,1,0,0,1,0,0,0,0,0,3,0.6,0.6,accuracy,133,45,42,17
0,0,1,0,1,0,0,0,1,0,0,0,0,3,0.6222222222222222,0.6222222222222222,accuracy,133,45,42,17
0,0,1,0,1,0,0,0,0,1,0,0,0,3,0.7777777777777778,0.7777777777777778,accuracy,133,45,42,11
0,0,1,0,1,0,0,0,0,0,1,0,0,3,0.7111111111111111,0.7111111111111111,accuracy,133,45,42,14
0,0,1,0,1,0,0,0,0,0,0,1,0,3,0.7777777777777778,0.7777777777777778,accuracy,133,45,42,11
0,0,1,0,1,0,0,0,0,0,0,0,1,3,0.7555555555555555,0.7555555555555555,accuracy,133,45,42,12
0,0,1,0,0,1,1,0,0,0,0,0,0,3,0.8888888888888888,0.8888888888888888,accuracy,133,45,42,6
